datetime,original,predicted
20180504090200,89075.0,89009.22280550005
20180504090300,89050.00000000001,88877.9385328293
20180504090400,89200.0,88830.2958071232
20180504090500,89524.99999999999,88897.3157554865
20180504090600,89775.0,89136.19150519372
20180504090700,89875.0,89415.57878553869
20180504090800,89750.0,89581.9533377886
20180504090900,89550.0,89562.70682513715
20180504091000,89500.0,89401.4813899994
20180504091100,89400.0,89283.79095792772
20180504091200,89450.0,89208.70341658594
20180504091300,89850.0,89188.89335095884
20180504091400,89900.0,89420.26720345022
20180504091500,89875.0,89629.20821905138
20180504091600,89650.0,89639.06503915788
20180504091700,89250.0,89510.71638464929
20180504091800,89175.0,89199.26658272745
20180504091900,89200.0,88976.29674077035
20180504092000,89150.0,88954.86458539964
20180504092100,89150.0,88940.21649360658
20180504092200,89250.0,88917.19439029695
20180504092300,89200.0,88969.51053440572
20180504092400,89200.0,88989.36988413335
20180504092500,89225.0,88966.36706590654
20180504092600,89300.0,88979.44235205652
20180504092700,89250.0,89030.15140593053
20180504092800,89250.0,89038.50827515127
20180504092900,89250.0,89015.51402807237
20180504093000,89150.0,89015.51402807237
20180504093100,89150.0,88963.22145462038
20180504093200,89200.0,88917.19439029695
20180504093300,89150.0,88943.3556765318
20180504093400,89150.0,88940.21649360658
20180504093500,89150.0,88917.19439029695
20180504093600,89150.0,88917.19439029695
20180504093700,89125.0,88917.19439029695
20180504093800,89150.0,88904.11053299905
20180504093900,89175.0,88905.68333864213
20180504094100,89150.0,88930.27824759485
20180504094200,89150.0,88928.70544195177
20180504094300,89150.0,88917.19439029695
20180504094400,89150.0,88917.19439029695
20180504094500,89125.0,88917.19439029695
20180504094600,89025.0,88904.11053299905
20180504094700,89025.0,88840.24262428285
20180504094800,89025.0,88794.155561924
20180504094900,89025.0,88794.155561924
20180504095000,89075.0,88794.155561924
20180504095100,89000.0,88820.34898996355
20180504095200,88850.0,88804.10452187063
20180504095300,88800.0,88690.88180065156
20180504095400,88725.0,88595.38421332838
20180504095500,88750.0,88532.89197385313
20180504095600,88725.0,88511.35696470739
20180504095700,88725.0,88509.77773070337
20180504095800,88775.0,88498.21525216104
20180504095900,88750.0,88524.48796331884
20180504100000,88750.0,88534.46906507017
20180504100100,88875.0,88522.9108721018
20180504100200,88900.0,88588.56372237207
20180504100300,88825.0,88659.41711664201
20180504100400,88925.0,88631.60374164583
20180504100500,88925.0,88649.45101439954
20180504100600,88925.0,88695.60878872873
20180504100700,88925.0,88695.60878872873
20180504100800,89100.0,88695.60878872873
20180504100900,89150.0,88787.34792768957
