datetime,original,predicted
20180504090200,61900.0,62140.930523723364
20180504090300,62375.0,61844.4477468729
20180504090400,62175.0,62048.235822468996
20180504090500,62025.0,62163.61944451928
20180504090600,62275.0,61991.403003782034
20180504090700,62350.0,62053.57938334346
20180504090800,62400.0,62209.60277095437
20180504090900,62500.0,62271.06000632048
20180504091000,62450.0,62347.41866365075
20180504091100,62500.0,62367.62645840645
20180504091200,62425.0,62370.78692167997
20180504091300,62450.0,62354.36183586717
20180504091400,62500.0,62332.580618560314
20180504091500,62474.99999999999,62370.78692167997
20180504091600,62200.0,62380.89369982481
20180504091700,62050.0,62223.448260873556
20180504091800,62125.0,62016.196455806494
20180504091900,62250.0,61986.08039394021
20180504092000,62350.0,62086.88576370478
20180504092100,62275.0,62197.94980660081
20180504092200,62300.0,62204.87307533622
20180504092300,62250.0,62183.147902041674
20180504092400,62250.0,62168.34861636162
20180504092500,62275.0,62145.062067359686
20180504092600,62275.0,62158.27955007553
20180504092700,62275.0,62169.92465779185
20180504092800,62250.0,62169.92465779185
20180504092900,62300.0,62156.70455619693
20180504093000,62250.0,62171.499651670456
20180504093100,62250.0,62168.34861636162
20180504093200,62275.0,62145.062067359686
20180504093300,62275.0,62158.27955007553
20180504093400,62300.0,62169.92465779185
20180504093500,62275.0,62183.147902041674
20180504093600,62300.0,62181.57186061144
20180504093700,62250.0,62183.147902041674
20180504093800,62250.0,62168.34861636162
20180504093900,62050.0,62145.062067359686
20180504094000,62050.0,62039.428532123566
20180504094100,62050.0,61946.5599372983
20180504094200,62075.0,61946.5599372983
20180504094300,62100.0,61959.730280190706
20180504094400,62225.0,61984.51011404395
20180504094500,62175.0,62062.06088513136
20180504094600,62175.0,62093.79593804479
20180504094700,62200.0,62070.540291815996
20180504094800,62175.0,62083.7399661541
20180504094900,62225.0,62082.16654360294
20180504095000,62275.0,62096.94330692291
20180504095100,62275.0,62146.63653746247
20180504095200,62275.0,62169.92465779185
20180504095300,62275.0,62169.92465779185
20180504095400,62175.0,62169.92465779185
20180504095500,62150.00000000001,62117.061012238264
20180504095600,62150.00000000001,62057.343236356974
20180504095700,62175.0,62045.72169855237
20180504095800,62150.00000000001,62058.91613513231
20180504095900,62150.00000000001,62057.343236356974
20180504100000,62150.00000000001,62045.72169855237
20180504100100,62150.00000000001,62045.72169855237
20180504100200,62150.00000000001,62045.72169855237
20180504100300,62150.00000000001,62045.72169855237
20180504100400,62125.0,62045.72169855237
20180504100500,62150.00000000001,62032.53040462732
20180504100600,62150.00000000001,62034.102779626846
20180504100700,62150.00000000001,62045.72169855237
20180504100800,62225.0,62045.72169855237
20180504100900,62250.0,62085.31338870525
20180504101000,62325.0,62133.42219740152
20180504101100,62350.0,62184.72341969609
20180504101200,62250.0,62232.91655629873
20180504101300,62275.0,62191.64459332824
20180504101400,62275.0,62158.27955007553
20180504101500,62250.0,62169.92465779185
20180504101600,62275.0,62156.70455619693
20180504101700,62275.0,62158.27955007553
20180504101800,62275.0,62169.92465779185
20180504101900,62250.0,62169.92465779185
20180504102000,62275.0,62156.70455619693
20180504102100,62300.0,62158.27955007553
20180504102200,62375.0,62183.147902041674
20180504102300,62450.0,62234.4936452806
20180504102400,62450.0,62309.227550029755
20180504102500,62474.99999999999,62344.26029548049
20180504102600,62474.99999999999,62357.52282291651
20180504102700,62474.99999999999,62369.20721381903
20180504102800,62525.0,62369.20721381903
20180504102900,62575.0,62395.744839310646
20180504103000,62550.0,62445.68948224187
20180504103100,62575.0,62455.80883100629
20180504103200,62550.0,62457.3906339705
20180504103300,62550.0,62455.80883100629
20180504103400,62550.0,62444.10767927766
20180504103500,62550.0,62444.10767927766
20180504103600,62550.0,62444.10767927766
20180504103700,62575.0,62444.10767927766
20180504103800,62600.00000000001,62457.3906339705
20180504103900,62675.0,62482.38259702921
20180504104000,62675.0,62533.9797526598
20180504104100,62675.0,62569.13977563381
20180504104200,62725.0,62569.13977563381
20180504104300,62625.0,62595.75911015272
20180504104400,62474.99999999999,62565.96936061978
20180504104500,62525.0,62439.36017528176
20180504104600,62550.0,62395.744839310646
20180504104700,62550.0,62432.40862265229
20180504104800,62550.0,62444.10767927766
20180504104900,62550.0,62444.10767927766
20180504105000,62550.0,62444.10767927766
20180504105100,62550.0,62444.10767927766
20180504105200,62550.0,62444.10767927766
20180504105300,62575.0,62444.10767927766
20180504105400,62550.0,62457.3906339705
20180504105500,62500.0,62455.80883100629
20180504105600,62375.0,62417.5491027534
20180504105700,62350.0,62327.84097120166
20180504105800,62350.0,62256.23924583197
20180504105900,62325.0,62244.5763297379
20180504110000,62350.0,62231.339467316866
20180504110100,62350.0,62232.91655629873
20180504110200,62325.0,62244.5763297379
20180504110300,62350.0,62231.339467316866
20180504110400,62325.0,62232.91655629873
20180504110500,62375.0,62231.339467316866
20180504110600,62325.0,62246.153942495584
20180504110700,62275.0,62242.999240756035
20180504110800,62250.0,62193.22115853429
20180504110900,62250.0,62156.70455619693
20180504111000,62250.0,62145.062067359686
20180504111100,62275.0,62145.062067359686
20180504111200,62275.0,62158.27955007553
20180504111300,62250.0,62169.92465779185
20180504111400,62275.0,62156.70455619693
20180504111500,62225.0,62158.27955007553
20180504111600,62225.0,62143.48707348108
20180504111700,62250.0,62120.210476219654
20180504111800,62275.0,62133.42219740152
20180504111900,62250.0,62158.27955007553
20180504112000,62275.0,62156.70455619693
20180504112100,62250.0,62158.27955007553
20180504112200,62225.0,62156.70455619693
20180504112300,62200.0,62131.84772729874
20180504112400,62225.0,62107.001373916864
20180504112500,62250.0,62108.57584401965
20180504112600,62275.0,62133.42219740152
20180504112700,62250.0,62158.27955007553
20180504112800,62400.0,62156.70455619693
20180504112900,62375.0,62224.41043704748
20180504113000,62250.0,62281.149499863386
20180504113100,62275.0,62203.29651013017
20180504113200,62250.0,62158.27955007553
20180504113300,62250.0,62156.70455619693
20180504113400,62250.0,62145.062067359686
20180504113500,62225.0,62145.062067359686
20180504113600,62225.0,62131.84772729874
20180504113700,62250.0,62120.210476219654
20180504113800,62250.0,62133.42219740152
20180504113900,62250.0,62145.062067359686
20180504114000,62250.0,62145.062067359686
20180504114100,62275.0,62145.062067359686
20180504114200,62300.0,62158.27955007553
20180504114300,62350.0,62183.147902041674
20180504114400,62325.0,62221.25887796283
20180504114500,62350.0,62231.339467316866
20180504114600,62350.0,62232.91655629873
20180504114700,62350.0,62244.5763297379
20180504114800,62375.0,62244.5763297379
20180504114900,62350.0,62257.81685858965
20180504115000,62350.0,62256.23924583197
20180504115100,62350.0,62244.5763297379
20180504115200,62350.0,62244.5763297379
20180504115300,62350.0,62244.5763297379
20180504115400,62325.0,62244.5763297379
20180504115500,62275.0,62231.339467316866
20180504115600,62325.0,62193.22115853429
20180504115700,62375.0,62196.373765170574
20180504115800,62375.0,62246.153942495584
20180504115900,62375.0,62269.482393562794
20180504120000,62375.0,62269.482393562794
20180504120100,62325.0,62269.482393562794
20180504120200,62375.0,62242.999240756035
20180504120300,62325.0,62246.153942495584
20180504120400,62250.0,62242.999240756035
20180504120500,62250.0,62179.99529540539
20180504120600,62250.0,62145.062067359686
20180504120700,62275.0,62145.062067359686
20180504120800,62250.0,62158.27955007553
20180504120900,62350.0,62156.70455619693
20180504121000,62350.0,62197.94980660081
20180504121100,62300.0,62244.5763297379
20180504121200,62250.0,62218.10522377491
20180504121300,62275.0,62168.34861636162
20180504121400,62275.0,62158.27955007553
20180504121500,62275.0,62169.92465779185
20180504121600,62300.0,62169.92465779185
20180504121700,62400.0,62183.147902041674
20180504121800,62425.0,62247.730507701635
20180504121900,62450.0,62307.64888972044
20180504122000,62474.99999999999,62332.580618560314
20180504122100,62500.0,62357.52282291651
20180504122200,62500.0,62382.47445523739
20180504122300,62400.0,62394.16356012225
20180504122400,62375.0,62341.099832206964
20180504122500,62450.0,62281.149499863386
20180504122600,62425.0,62309.227550029755
20180504122700,62375.0,62331.00091069937
20180504122800,62375.0,62292.81870126724
20180504122900,62350.0,62269.482393562794
20180504123000,62350.0,62256.23924583197
20180504123100,62350.0,62244.5763297379
20180504123200,62325.0,62244.5763297379
20180504123300,62474.99999999999,62231.339467316866
20180504123400,62550.0,62299.13124740124
20180504123500,62600.00000000001,62409.01731848717
20180504123600,62700.0,62470.676731318235
20180504123700,62600.00000000001,62547.2810395062
20180504123800,62550.0,62540.94439968467
20180504123900,62600.00000000001,62467.51207783818
20180504124000,62675.0,62470.676731318235
20180504124100,62550.0,62533.9797526598
20180504124200,62575.0,62502.633341401815
20180504124300,62625.0,62457.3906339705
20180504124400,62625.0,62495.673932135105
20180504124500,62625.0,62519.097186625004
20180504124600,62650.0,62519.097186625004
20180504124700,62650.0,62532.39585459232
20180504124800,62675.0,62544.11324337125
20180504124900,62625.0,62557.41767287254
20180504125000,62675.0,62542.529345303774
20180504125100,62650.0,62545.69766521454
20180504125200,62650.0,62555.83272725344
20180504125300,62625.0,62544.11324337125
20180504125400,62725.0,62530.81195652485
20180504125500,62750.0,62572.30757176876
20180504125600,62650.0,62632.537600398064
20180504125700,62575.0,62591.00322574377
20180504125800,62650.0,62504.21723946929
20180504125900,62650.0,62508.967362344265
20180504130000,62650.0,62544.11324337125
20180504130100,62625.0,62544.11324337125
20180504130200,62650.0,62530.81195652485
20180504130300,62675.0,62532.39585459232
20180504130400,62650.0,62557.41767287254
20180504130500,62650.0,62555.83272725344
20180504130600,62650.0,62544.11324337125
20180504130700,62650.0,62544.11324337125
20180504130800,62675.0,62544.11324337125
20180504130900,62650.0,62557.41767287254
20180504131000,62650.0,62555.83272725344
20180504131100,62650.0,62544.11324337125
20180504131200,62650.0,62544.11324337125
20180504131300,62600.00000000001,62544.11324337125
20180504131400,62474.99999999999,62517.513812333345
20180504131500,62425.0,62427.66216620803
20180504131600,62400.0,62342.68058761954
20180504131700,62550.0,62306.070229411125
20180504131800,62550.0,62373.94581362605
20180504131900,62550.0,62444.10767927766
20180504132000,62550.0,62444.10767927766
20180504132100,62500.0,62444.10767927766
20180504132200,62450.0,62417.5491027534
20180504132300,62450.0,62367.62645840645
20180504132400,62450.0,62344.26029548049
20180504132500,62500.0,62344.26029548049
20180504132600,62450.0,62370.78692167997
20180504132700,62525.0,62367.62645840645
20180504132800,62600.00000000001,62384.05468687415
20180504132900,62600.00000000001,62458.972960710526
20180504133000,62575.0,62494.09108161926
20180504133100,62550.0,62480.80027028918
20180504133200,62425.0,62455.80883100629
20180504133300,62450.0,62377.73114144802
20180504133400,62450.0,62332.580618560314
20180504133500,62474.99999999999,62344.26029548049
20180504133600,62474.99999999999,62357.52282291651
20180504133700,62474.99999999999,62369.20721381903
20180504133800,62525.0,62369.20721381903
20180504133900,62550.0,62395.744839310646
20180504134000,62625.0,62432.40862265229
20180504134100,62625.0,62483.964923769236
20180504134200,62600.00000000001,62519.097186625004
20180504134300,62575.0,62505.80166131258
20180504134400,62550.0,62480.80027028918
20180504134500,62575.0,62455.80883100629
20180504134600,62525.0,62457.3906339705
20180504134700,62474.99999999999,62442.52535253763
20180504134800,62474.99999999999,62392.58280470967
20180504134900,62500.0,62369.20721381903
20180504135000,62450.0,62382.47445523739
20180504135100,62474.99999999999,62367.62645840645
20180504135200,62525.0,62357.52282291651
20180504135300,62450.0,62395.744839310646
20180504135400,62350.0,62379.31294441223
20180504135500,62325.0,62291.24004095793
20180504135600,62325.0,62231.339467316866
20180504135700,62300.0,62219.68178898096
20180504135800,62400.0,62206.4506880939
20180504135900,62525.0,62247.730507701635
20180504140000,62550.0,62360.68119108677
20180504140100,62425.0,62432.40862265229
20180504140200,62425.0,62377.73114144802
20180504140300,62425.0,62319.32385265827
20180504140400,62450.0,62319.32385265827
20180504140500,62450.0,62332.580618560314
20180504140600,62450.0,62344.26029548049
20180504140700,62450.0,62344.26029548049
20180504140800,62425.0,62344.26029548049
20180504140900,62450.0,62331.00091069937
20180504141000,62425.0,62332.580618560314
20180504141100,62425.0,62331.00091069937
20180504141200,62450.0,62319.32385265827
20180504141300,62450.0,62332.580618560314
20180504141400,62450.0,62344.26029548049
20180504141500,62400.0,62344.26029548049
20180504141600,62300.0,62317.74466857314
20180504141700,62250.0,62241.421104222536
20180504141800,62250.0,62168.34861636162
20180504141900,62225.0,62145.062067359686
20180504142000,62250.0,62131.84772729874
20180504142100,62300.0,62133.42219740152
20180504142200,62250.0,62171.499651670456
20180504142300,62300.0,62168.34861636162
20180504142400,62275.0,62171.499651670456
20180504142500,62250.0,62181.57186061144
20180504142600,62300.0,62156.70455619693
20180504142700,62250.0,62171.499651670456
20180504142800,62225.0,62168.34861636162
20180504142900,62300.0,62131.84772729874
20180504143000,62250.0,62159.854543954134
