datetime,original,predicted
20180504090200,264250.0,262720.74604034424
20180504090300,264875.0,262964.62428569794
20180504090400,265375.0,263483.473777771
20180504090500,266500.0,263993.5613870621
20180504090600,267500.0,264750.4186630249
20180504090700,267875.0,265708.15086364746
20180504090800,267875.0,266309.35621261597
20180504090900,267875.0,266467.12851524353
20180504091000,267000.0,266467.12851524353
20180504091100,266375.0,266049.19254779816
20180504091200,267000.0,265379.9365758896
20180504091300,266750.0,265415.4163599014
20180504091400,266750.0,265559.9465370178
20180504091500,266875.0,265454.16140556335
20180504091600,266500.0,265514.16277885437
20180504091700,265625.0,265387.033700943
20180504091800,265750.0,264806.9152832031
20180504091900,265875.0,264494.9338436127
20180504092000,266000.0,264608.5112094879
20180504092100,265500.0,264722.0067977905
20180504092200,265125.0,264533.9125394821
20180504092300,265625.0,264139.45257663727
20180504092400,266125.0,264221.35281562805
20180504092500,266250.0,264675.94265937805
20180504092600,267250.0,264948.7409591675
20180504092700,267500.0,265482.4914932251
20180504092800,267500.0,266024.82867240906
20180504092900,267125.0,266130.21659851074
20180504093000,267375.0,265950.8550167084
20180504093100,267250.0,265912.2793674469
20180504093200,267375.0,265957.9463005066
20180504093300,267375.0,265965.02590179443
20180504093400,267375.0,266017.7490711212
20180504093500,267000.0,266017.7490711212
20180504093600,267250.0,265838.2531404495
20180504093700,267125.0,265799.6541261673
20180504093800,266875.0,265845.34442424774
20180504093900,267125.0,265672.75285720825
20180504094000,267125.0,265686.9295835495
20180504094100,266750.0,265792.5570011139
20180504094200,266750.0,265612.8098964691
20180504094300,266750.0,265454.16140556335
20180504094400,266875.0,265454.16140556335
20180504094500,266750.0,265514.16277885437
20180504094600,266750.0,265507.07149505615
20180504094700,266875.0,265454.16140556335
20180504094800,266750.0,265514.16277885437
20180504094900,267000.0,265507.07149505615
20180504095000,266500.0,265574.13494586945
20180504095100,266750.0,265439.96131420135
20180504095200,266875.0,265348.30033779144
20180504095300,266875.0,265514.16277885437
20180504095400,266625.0,265567.0495033264
20180504095500,266750.0,265447.06428050995
20180504095600,266750.0,265401.2396335602
20180504095700,267125.0,265454.16140556335
20180504095800,267375.0,265634.08374786377
20180504095900,267875.0,265912.2793674469
20180504100000,268375.0,266256.7323446274
20180504100100,268500.0,266705.4166793823
20180504100200,268125.0,266974.5992422104
20180504100300,268500.0,266848.650097847
20180504100400,268500.0,266869.81296539307
20180504100500,268375.0,267026.9660949707
20180504100600,268500.0,266967.56052970886
20180504100700,268250.0,266974.5992422104
20180504100800,268875.0,266908.1199169159
20180504100900,268750.0,267100.42572021484
20180504101000,268250.0,267302.58572101593
20180504101100,268250.0,267012.8711462021
20180504101200,268125.0,266803.2810688019
20180504101300,268000.0,266743.78204345703
20180504101400,268125.0,266631.77013397217
20180504101500,268125.0,266638.82637023926
20180504101600,268500.0,266691.31004810333
20180504101700,268875.0,266869.81296539307
20180504101800,268625.0,267205.07764816284
20180504101900,268750.0,267243.2794570923
20180504102000,268750.0,267198.0330944061
20180504102100,269250.0,267250.324010849
20180504102200,269125.0,267487.3913526535
20180504102300,269000.0,267636.86323165894
20180504102400,268750.0,267525.5289077759
20180504102500,268875.0,267354.8415899277
20180504102600,269000.0,267309.62443351746
20180504102700,269125.0,267421.13399505615
20180504102800,269875.0,267532.55009651184
20180504102900,269750.0,267939.37599658966
20180504103000,269750.0,268192.284822464
20180504103100,270000.0,268140.3560638428
20180504103200,270000.0,268258.2267522812
20180504103300,269875.0,268362.0083332062
20180504103400,269625.0,268303.12263965607
20180504103500,269625.0,268133.340716362
20180504103600,269625.0,268029.3838977814
20180504103700,269750.0,268029.3838977814
20180504103800,269625.0,268088.39225769043
20180504103900,269875.0,268081.37691020966
20180504104000,269750.0,268147.353887558
20180504104100,269875.0,268192.284822464
20180504104200,269875.0,268199.2943286896
20180504104300,269875.0,268251.2230873108
20180504104400,269875.0,268251.2230873108
20180504104500,270250.0,268251.2230873108
20180504104600,269875.0,268427.85680294037
20180504104700,269750.0,268406.85749053955
20180504104800,269500.0,268192.284822464
20180504104900,269375.0,268022.3743915558
20180504105000,269375.0,267859.28654670715
20180504105100,269250.0,267807.2292804718
20180504105200,269125.0,267748.12161922455
20180504105300,269125.0,267636.86323165894
20180504105400,269375.0,267584.7125053406
20180504105500,269250.0,267703.03297042847
20180504105600,269250.0,267748.12161922455
20180504105700,268750.0,267696.0117816925
20180504105800,269000.0,267459.25986766815
20180504105900,269375.0,267368.90149116516
20180504110000,269250.0,267650.90560913086
20180504110100,269125.0,267748.12161922455
20180504110200,269250.0,267636.86323165894
20180504110300,269375.0,267643.8902616501
20180504110400,269500.0,267755.1369667053
20180504110500,269250.0,267866.3077354431
20180504110600,269250.0,267800.20809173584
20180504110700,268875.0,267696.0117816925
20180504110800,268750.0,267518.48435401917
20180504110900,268625.0,267302.58572101593
20180504111000,268625.0,267191.0002231598
20180504111100,269000.0,267138.69762420654
20180504111200,269250.0,267316.663146019
20180504111300,269250.0,267591.7395353317
20180504111400,269250.0,267696.0117816925
20180504111500,269250.0,267696.0117816925
20180504111600,269250.0,267696.0117816925
20180504111700,269375.0,267696.0117816925
20180504111800,269375.0,267755.1369667053
20180504111900,269500.0,267807.2292804718
20180504112000,269750.0,267866.3077354431
20180504112100,269375.0,268036.4167690277
20180504112200,269250.0,267963.35434913635
20180504112300,269125.0,267748.12161922455
20180504112400,269000.0,267636.86323165894
20180504112500,268875.0,267525.5289077759
20180504112600,269000.0,267414.1011238098
20180504112700,268750.0,267421.13399505615
20180504112800,268750.0,267354.8415899277
20180504112900,268750.0,267250.324010849
20180504113000,268625.0,267250.324010849
20180504113100,268750.0,267191.0002231598
20180504113200,268500.0,267198.0330944061
20180504113300,268375.0,267131.64138793945
20180504113400,268000.0,266967.56052970886
20180504113500,267750.0,266736.72580718994
20180504113600,267750.0,266460.0547552109
20180504113700,267750.0,266354.9063205719
20180504113800,268125.0,266354.9063205719
20180504113900,268250.0,266533.78891944885
20180504114000,268375.0,266750.8382797241
20180504114100,268375.0,266862.76841163635
20180504114200,268375.0,266915.176153183
20180504114300,268500.0,266915.176153183
20180504114400,268625.0,266974.5992422104
20180504114500,268375.0,267086.36581897736
20180504114600,268375.0,267019.921541214
20180504114700,268500.0,266915.176153183
20180504114800,268625.0,266974.5992422104
20180504114900,268625.0,267086.36581897736
20180504115000,268875.0,267138.69762420654
20180504115100,269125.0,267257.35688209534
20180504115200,269250.0,267480.36432266235
20180504115300,269250.0,267643.8902616501
20180504115400,269375.0,267696.0117816925
20180504115500,269250.0,267755.1369667053
20180504115600,269375.0,267748.12161922455
20180504115700,269250.0,267755.1369667053
20180504115800,269375.0,267748.12161922455
20180504115900,269375.0,267755.1369667053
20180504120000,269375.0,267807.2292804718
20180504120100,268875.0,267807.2292804718
20180504120200,268875.0,267570.6467628479
20180504120300,268875.0,267361.874461174
20180504120400,269375.0,267361.874461174
20180504120500,269375.0,267598.7665653229
