datetime,original,predicted
20180504090200,336125.0,336909.63900089264
20180504090300,335499.99999999994,336048.1457710266
20180504090400,335000.0,335422.72436618805
20180504090500,334500.0,334864.94171619415
20180504090600,334625.0,334366.4835691452
20180504090700,335000.0,334199.74863529205
20180504090800,335250.0,334456.70092105865
20180504090900,335125.0,334764.2334103584
20180504091000,335250.0,334814.5842552185
20180504091100,335874.99999999994,334822.5831389427
20180504091200,336125.0,335212.9361629486
20180504091300,336250.00000000006,335638.2818222046
20180504091400,336375.0,335821.89667224884
20180504091500,336125.0,335947.0382928848
20180504091600,336000.0,335872.42835760117
20180504091700,335625.0,335688.78704309464
20180504091800,335750.0,335430.7408928871
20180504091900,336000.0,335321.82639837265
20180504092000,335625.0,335513.2614970207
20180504092100,335625.0,335430.7408928871
20180504092200,335250.0,335255.371928215
20180504092300,335250.0,335056.09011650085
20180504092400,335000.0,334880.94168901443
20180504092500,334625.0,334748.24446439743
20180504092600,335250.0,334432.7395558357
20180504092700,336250.00000000006,334589.254796505
20180504092800,336750.0,335412.2995734215
20180504092900,336375.0,336146.8758583069
20180504093000,336375.0,336181.4097762108
20180504093100,336000.0,336005.6173801422
20180504093200,336000.0,335805.8547973633
20180504093300,336500.0,335630.2675008774
20180504093400,336500.0,335896.4867591858
20180504093500,336250.00000000006,336130.8295726776
20180504093600,336875.0,335997.58982658386
20180504093700,337750.0,336213.5133743286
20180504093800,338500.0,336973.99616241455
20180504093900,338750.0,337786.92930936813
20180504094000,338875.0,338274.40029382706
20180504094100,339125.0,338459.3648314476
20180504094200,339125.0,338652.48042345047
20180504094300,338875.0,338770.5053091049
20180504094400,338750.0,338636.3326907158
20180504094500,338750.0,338451.295375824
20180504094600,338500.0,338392.3237323761
20180504094700,338000.0,338258.2657933235
20180504094800,338125.0,337872.47347831726
20180504094900,338125.0,337703.8948535919
20180504095000,338250.0,337762.7694606781
20180504095100,338125.0,337829.7091126442
20180504095200,337875.0,337821.65068387985
20180504095300,337750.0,337628.91882658005
20180504095400,337500.0,337444.3402290344
20180504095500,336875.0,337251.7980337143
20180504095600,337125.0,336800.2393245697
20180504095700,337125.0,336640.19548892975
20180504095800,338250.0,336757.6094865799
20180504095900,338000.0,337358.86883735657
20180504100000,337750.0,337754.70662117004
20180504100100,337875.0,337503.1707286835
20180504100200,337750.0,337452.3920416832
20180504100300,338250.0,337444.3402290344
20180504100400,338625.0,337653.0830860138
20180504100500,339375.0,338089.51514959335
20180504100600,339125.0,338668.61271858215
20180504100700,339125.0,338888.5588645935
20180504100800,339250.0,338770.5053091049
20180504100900,339250.0,338837.60595321655
20180504101000,339375.0,338896.6393470764
20180504101100,339625.0,338963.7576341629
20180504101200,339625.0,339157.0893526077
20180504101300,339250.0,339275.24876594543
20180504101400,339250.0,339073.7792253494
20180504101500,339500.0,338896.6393470764
20180504101600,340124.99999999994,339030.8869481087
20180504101700,340250.0,339484.8671555519
20180504101800,340000.0,339847.75668382645
20180504101900,340124.99999999994,339772.42559194565
20180504102000,340750.0,339721.375644207
20180504102100,340750.0,340116.78779125214
20180504102200,341125.0,340412.79059648514
20180504102300,341000.0,340614.75855112076
20180504102400,340875.00000000006,340725.13741254807
20180504102500,340750.0,340598.55568408966
20180504102600,340625.0,340472.00483083725
20180504102700,340875.00000000006,340345.482647419
20180504102800,341375.0,340420.88651657104
20180504102900,341250.00000000006,340808.6901307106
20180504103000,341625.0,340978.37805747986
20180504103100,341625.0,341121.2420463562
20180504103200,341875.0,341299.1163134575
20180504103300,342125.0,341433.9417219162
20180504103400,341875.0,341687.44480609894
20180504103500,341625.0,341671.2176799774
20180504103600,341625.0,341417.7190065384
20180504103700,341125.0,341299.1163134575
20180504103800,341500.0,341029.53165769577
20180504103900,341750.0,340994.5831298828
20180504104000,342125.0,341307.2232604027
20180504104100,342375.0,341628.1136870384
20180504104200,342500.0,341941.0338997841
20180504104300,342750.0,342127.2224187851
20180504104400,342875.0,342321.568608284
20180504104500,342500.0,342507.8387260437
20180504104600,342500.0,342364.7012710571
20180504104700,343125.0,342186.58661842346
20180504104800,343500.0,342524.0680575371
20180504104900,343625.0,343023.6950516701
20180504105000,343625.0,343269.53226327896
20180504105100,343750.0,343328.9648294449
20180504105200,343750.0,343396.5286016464
20180504105300,343750.0,343455.9699892998
20180504105400,343750.0,343455.9699892998
20180504105500,343625.0,343455.9699892998
20180504105600,343750.0,343388.4018063545
20180504105700,343125.0,343396.5286016464
20180504105800,343250.0,343118.14671754837
20180504105900,343375.0,342888.613820076
20180504110000,343250.0,343015.57046175003
20180504110100,343125.0,343007.44587183
20180504110200,343125.0,342880.48923015594
20180504110300,343375.0,342821.08092308044
20180504110400,343375.0,342956.15112781525
20180504110500,343250.0,343074.9920010567
20180504110600,343000.0,343007.44587183
20180504110700,343000.0,342812.9519224167
20180504110800,342750.0,342694.1441297531
20180504110900,342875.0,342559.1048002243
20180504111000,343125.0,342507.8387260437
20180504111100,343375.0,342702.2665143013
20180504111200,342875.0,342956.15112781525
20180504111300,342500.0,342804.82292175293
20180504111400,342750.0,342364.7012710571
20180504111500,342875.0,342321.568608284
20180504111600,342625.0,342507.8387260437
20180504111700,342750.0,342432.2077035904
20180504111800,342875.0,342380.9460401535
20180504111900,342875.0,342507.8387260437
20180504112000,342750.0,342567.22939014435
20180504112100,342625.0,342499.7163414955
20180504112200,342375.0,342372.8258609772
20180504112300,342250.0,342178.4620285034
20180504112400,342375.0,341992.26689338684
20180504112500,342250.0,342000.3870725632
20180504112600,342375.0,341992.26689338684
20180504112700,342125.0,342000.3870725632
20180504112800,342375.0,341924.800157547
20180504112900,342250.0,341941.0338997841
20180504113000,342000.0,341992.26689338684
20180504113100,342500.0,341797.99568653107
20180504113200,342250.0,341949.14305210114
20180504113300,342375.0,342051.6222715378
20180504113400,342250.0,342000.3870725632
20180504113500,342375.0,341992.26689338684
20180504113600,342500.0,342000.3870725632
20180504113700,342750.0,342127.2224187851
20180504113800,342375.0,342321.568608284
20180504113900,342250.0,342237.83284425735
20180504114000,342250.0,341992.26689338684
20180504114100,342375.0,341932.9181313515
20180504114200,342250.0,342000.3870725632
20180504114300,342375.0,341992.26689338684
20180504114400,342375.0,342000.3870725632
20180504114500,342375.0,342059.7424507141
20180504114600,342375.0,342059.7424507141
20180504114700,342750.0,342059.7424507141
20180504114800,342875.0,342262.18897104263
20180504114900,342625.0,342507.8387260437
20180504115000,342875.0,342432.2077035904
20180504115100,342750.0,342448.44806194305
20180504115200,342875.0,342499.7163414955
20180504115300,343250.0,342507.8387260437
20180504115400,343250.0,342769.7905898094
20180504115500,343250.0,342948.0265378952
20180504115600,343375.0,342948.0265378952
20180504115700,343250.0,343015.57046175003
20180504115800,343375.0,343007.44587183
20180504115900,343250.0,343015.57046175003
20180504120000,343375.0,343007.44587183
20180504120100,343250.0,343015.57046175003
20180504120200,343375.0,343007.44587183
20180504120300,343375.0,343015.57046175003
20180504120400,343375.0,343074.9920010567
20180504120500,343375.0,343074.9920010567
20180504120600,343375.0,343074.9920010567
20180504120700,343250.0,343074.9920010567
20180504120800,343250.0,343007.44587183
20180504120900,343250.0,342948.0265378952
20180504121000,343375.0,342948.0265378952
20180504121100,343375.0,343015.57046175003
20180504121200,343625.0,343074.9920010567
20180504121300,343500.0,343210.0952863693
20180504121400,343375.0,343261.4032626152
20180504121500,343375.0,343134.41574573517
20180504121600,343250.0,343074.9920010567
20180504121700,343250.0,343007.44587183
20180504121800,343375.0,342948.0265378952
20180504121900,343375.0,343015.57046175003
20180504122000,343125.0,343074.9920010567
20180504122100,343375.0,342939.8997426033
20180504122200,343375.0,342956.15112781525
20180504122300,343375.0,343074.9920010567
20180504122400,343250.0,343074.9920010567
20180504122500,343500.0,343007.44587183
20180504122600,343625.0,343083.1165909767
20180504122700,343375.0,343269.53226327896
20180504122800,343625.0,343193.8416957855
20180504122900,343750.0,343210.0952863693
20180504123000,343750.0,343396.5286016464
20180504123100,343875.0,343455.9699892998
20180504123200,343875.0,343523.5447883606
20180504123300,343750.0,343582.9927921295
20180504123400,343750.0,343515.413582325
20180504123500,343750.0,343455.9699892998
20180504123600,343750.0,343455.9699892998
20180504123700,343750.0,343455.9699892998
20180504123800,343875.0,343455.9699892998
20180504123900,343625.0,343523.5447883606
20180504124000,343375.0,343447.8431940079
20180504124100,343375.0,343193.8416957855
20180504124200,343375.0,343074.9920010567
20180504124300,343250.0,343074.9920010567
20180504124400,343375.0,343007.44587183
20180504124500,343250.0,343015.57046175003
20180504124600,343250.0,343007.44587183
20180504124700,343250.0,342948.0265378952
