datetime,original,predicted
20180504090200,75675.0,75528.33355069162
20180504090300,75650.0,75477.41376161577
20180504090400,75525.0,75536.06443703176
20180504090500,75650.0,75456.10800981523
20180504090600,75725.0,75463.83152902128
20180504090700,75600.0,75564.77784216405
20180504090800,75450.0,75532.97300338747
20180504090900,75300.0,75391.28643870355
20180504091000,75250.0,75237.59604990484
20180504091100,75050.0,75138.24564218523
20180504091200,74950.0,75005.59118390085
20180504091300,74950.0,74855.0990521908
20180504091400,74850.0,74807.00363814832
20180504091500,74700.0,74752.7437746525
20180504091600,74525.0,74623.29217791559
20180504091700,74300.0,74456.30963742734
20180504091800,74200.0,74250.31812191011
20180504091900,74175.0,74088.15829157831
20180504092000,74125.0,74026.6408801079
20180504092100,74150.0,73987.58493959905
20180504092200,74225.0,73977.13005542757
20180504092300,74175.0,74029.717579484
20180504092400,74150.0,74038.63549530508
20180504092500,74150.0,74001.11560225488
20180504092600,74350.0,73989.12282884122
20180504092700,74500.0,74097.38838970663
20180504092800,74500.0,74274.64347779752
20180504092900,74450.0,74346.6839194298
20180504093000,74475.0,74319.58760023119
20180504093100,74450.0,74309.12166535856
20180504093200,74425.0,74307.5810134411
20180504093300,74250.0,74282.02995061876
20180504093400,74150.0,74175.22676587106
20180504093500,74225.0,74037.09668517114
20180504093600,74250.0,74029.717579484
20180504093700,74200.0,74079.23853397371
20180504093800,74150.0,74064.1653776169
20180504093900,74175.0,74013.1092965603
20180504094000,74200.0,74002.65349149705
20180504094100,74200.0,74028.17969024183
20180504094200,74275.0,74040.17430543901
20180504094300,74350.0,74080.77642321588
20180504094400,74325.0,74157.38448798658
20180504094500,74275.0,74179.84687983991
20180504094600,74275.0,74140.76699614526
20180504094700,74225.0,74116.7703986168
20180504094800,74150.0,74089.69618082048
20180504094900,74150.0,74025.10299086572
20180504095000,74100.0,73989.12282884122
20180504095100,74150.0,73962.06242442132
20180504095200,74150.0,73965.13912379743
20180504095300,74100.0,73989.12282884122
20180504095400,74250.0,73962.06242442132
20180504095500,74425.0,74019.26085352899
20180504095600,74525.0,74186.00212037565
20180504095700,74575.0,74324.20771420003
20180504095800,74650.0,74399.33866858484
20180504095900,74625.0,74464.01658058168
20180504100000,74550.0,74486.5010738373
20180504100100,74525.0,74433.82974863054
20180504100200,74575.0,74384.24893617631
20180504100300,74600.0,74399.33866858484
20180504100400,74550.0,74436.91105246545
