datetime,original,predicted
20180504090200,168250.0,165706.1790525913
20180504090300,168125.0,165826.9079327583
20180504090400,167250.0,165963.18742632863
20180504090500,167500.0,165537.442356348
20180504090600,167750.0,165310.97087264058
20180504090700,167750.0,165515.2372717857
20180504090800,167500.0,165610.7747852802
20180504090900,167750.0,165502.4691522121
20180504091000,167500.0,165515.2372717857
20180504091100,167500.0,165502.4691522121
20180504091200,167500.0,165406.79055452344
20180504091300,167250.0,165406.79055452344
20180504091400,167625.0,165298.17140102384
20180504091500,168250.0,165365.28044939038
20180504091600,168750.0,165779.29201722142
20180504091700,168625.0,166231.9528162479
20180504091800,168375.0,166367.42499470708
20180504091900,168375.0,166212.92996406552
20180504092000,168125.0,166118.22327971456
20180504092100,168125.0,166010.66225767133
20180504092200,168250.0,165915.673404932
20180504092300,168125.0,165969.55189108846
20180504092400,168375.0,165963.18742632863
20180504092500,168250.0,166023.3755111694
20180504092600,168125.0,166064.4623637199
20180504092700,168250.0,165963.18742632863
20180504092800,168250.0,165969.55189108846
20180504092900,168500.0,166017.03456044194
20180504093000,168375.0,166124.5799064636
20180504093100,168375.0,166165.596216917
20180504093200,168000.0,166118.22327971456
20180504093300,167750.0,165956.81512355802
20180504093400,167625.0,165706.1790525913
20180504093500,167750.0,165556.64548277852
20180504093600,167875.0,165563.02562355992
20180504093700,168000.0,165664.8805737495
20180504093800,168125.0,165766.57876372334
20180504093900,168250.0,165868.14370751378
20180504094000,168125.0,165969.55189108846
20180504094100,167625.0,165963.18742632863
20180504094200,167625.0,165699.7910737991
20180504094300,167750.0,165508.8571310043
20180504094400,167750.0,165563.02562355992
20180504094500,167875.0,165610.7747852802
20180504094600,167875.0,165664.8805737495
20180504094700,167875.0,165712.5591933727
20180504094800,167750.0,165712.5591933727
20180504094900,166750.0,165658.5004329681
20180504095000,166250.0,165176.5411496162
20180504095100,166500.0,164572.17565178868
20180504095200,166625.0,164488.1521761417
20180504095300,166125.0,164639.91957902905
20180504095400,165875.0,164468.80796551701
20180504095500,165875.0,164164.30124640462
