datetime,original,predicted
20180504090200,341625.0,341408.84866565466
20180504090300,341500.0,341486.61844059825
20180504090400,341625.0,341123.2205182314
20180504090500,342625.0,341131.35239481926
20180504090600,343625.0,341729.39352691174
20180504090700,343000.0,342742.7067756653
20180504090800,342375.0,342879.8531778157
20180504090900,341500.0,342246.37034907937
20180504091000,341375.0,341478.4678146243
20180504091100,341375.0,340996.694304049
20180504091200,341750.0,340937.50517070293
20180504091300,341875.0,341139.48694989085
20180504091400,342250.0,341384.46374982595
20180504091500,342750.0,341645.76590806246
20180504091600,342750.0,342093.02447736263
20180504091700,343250.0,342330.07296547294
20180504091800,343750.0,342599.72931444645
20180504091900,343375.0,343106.621645391
20180504092000,343000.0,343141.4821110666
20180504092100,342625.0,342761.28473877907
20180504092200,342750.0,342381.1918273568
20180504092300,342375.0,342270.80615609884
20180504092400,341875.0,342127.8608366847
20180504092500,341750.0,341680.58083951473
20180504092600,341875.0,341376.32651627064
20180504092700,341750.0,341384.46374982595
20180504092800,342125.0,341376.32651627064
20180504092900,342375.0,341519.17273178697
20180504093000,342250.0,341831.61517977715
20180504093100,342375.0,341882.7206492424
20180504093200,342250.0,341890.86323976517
20180504093300,342375.0,341882.7206492424
20180504093400,342000.0,341890.86323976517
20180504093500,341875.0,341747.9554191232
20180504093600,342125.0,341502.9036216438
20180504093700,342250.0,341578.4020423889
20180504093800,342500.0,341764.2406001687
20180504093900,342875.0,341958.2485333085
20180504094000,342875.0,342278.9487466216
20180504094100,342750.0,342456.7518532276
20180504094200,342875.0,342389.33977484703
20180504094300,342875.0,342397.48772233725
20180504094400,342625.0,342456.7518532276
20180504094500,342750.0,342321.92769646645
20180504094600,342375.0,342270.80615609884
20180504094700,342125.0,342127.8608366847
20180504094800,342375.0,341815.33535569906
20180504094900,342250.0,341831.61517977715
20180504095000,342250.0,341882.7206492424
20180504095100,342250.0,341823.4779462218
20180504095200,342250.0,341823.4779462218
20180504095300,342125.0,341823.4779462218
20180504095400,341750.0,341756.09800964594
20180504095500,341750.0,341494.76370960474
20180504095600,341625.0,341317.1105980873
20180504095700,342000.0,341249.76548179984
20180504095800,342125.0,341392.5956264138
20180504095900,342125.0,341637.6340314746
20180504100000,342125.0,341696.86334207654
20180504100100,342125.0,341696.86334207654
20180504100200,342250.0,341696.86334207654
20180504100300,342125.0,341764.2406001687
20180504100400,342250.0,341756.09800964594
20180504100500,342125.0,341764.2406001687
20180504100600,342125.0,341756.09800964594
20180504100700,342125.0,341696.86334207654
20180504100800,342125.0,341696.86334207654
20180504100900,342000.0,341696.86334207654
20180504101000,342250.0,341629.4967979193
20180504101100,342125.0,341705.0032541156
20180504101200,342250.0,341756.09800964594
20180504101300,342125.0,341764.2406001687
20180504101400,342125.0,341756.09800964594
20180504101500,342125.0,341696.86334207654
