datetime,original,predicted
20180504090200,381250.0,380407.48842433095
20180504090300,380375.0,380700.3096193075
20180504090400,380125.0,379370.58187648654
20180504090500,381625.0,378833.66632834077
20180504090600,381625.0,379504.2577832937
20180504090700,380250.0,380200.53658261895
20180504090800,378625.0,379478.99021953344
20180504090900,376250.0,377989.7619895637
20180504091000,373125.0,375995.2793568373
20180504091100,372000.0,373268.7074095011
20180504091200,372000.0,371245.4375140369
20180504091300,371250.0,370728.59878093004
20180504091400,369375.0,370339.2038270831
20180504091500,368000.0,369022.77990058064
20180504091600,367125.0,367452.695466578
20180504091700,364750.0,366372.26897105575
20180504091800,363500.0,364748.17814677954
20180504091900,366500.0,363024.39749985933
20180504092000,367750.0,363998.82131814957
20180504092100,368750.00000000006,366010.1920478046
20180504092200,369250.0,367097.5529961288
20180504092300,369500.0,367813.39195743203
20180504092400,369625.0,368171.56169191
20180504092500,368375.0,368350.7192134857
20180504092600,366375.0,367761.0081806779
20180504092700,364500.0,366156.2353372574
20180504092800,363250.0,364277.87855267525
20180504092900,365625.0,362782.3536135256
20180504093000,366750.0,363434.99137461185
20180504093100,366000.0,365095.36093100905
20180504093200,365375.0,365221.52922302485
20180504093300,365625.0,364557.7349849045
20180504093400,366500.0,364401.89143270254
20180504093500,367500.0,364966.52057394385
20180504093600,368500.0,365881.1821639538
20180504093700,369125.0,366854.1125319898
20180504093800,369625.0,367634.36359912157
20180504093900,369625.0,368179.0450885892
20180504094000,369625.0,368407.95468539
20180504094100,370125.0,368407.95468539
20180504094200,371625.0,368666.8785959482
20180504094300,371375.0,369673.44792187214
20180504094400,370375.0,370231.95795342326
20180504094500,370750.0,369598.4767191112
20180504094600,371125.0,369334.402423352
20180504094700,371875.0,369700.7982432842
20180504094800,373375.0,370261.9641944766
20180504094900,374125.0,371385.4989297688
20180504095000,373750.0,372465.50564467907
20180504095100,373125.0,372615.561068058
20180504095200,372375.0,372117.7496984601
20180504095300,372875.0,371440.3287358582
20180504095400,373500.0,371355.4765433073
20180504095500,373375.0,371910.29734909534
20180504095600,373000.0,372132.7891461551
20180504095700,372750.0,371880.23459911346
20180504095800,372500.0,371577.79881358147
20180504095900,371875.0,371332.937553525
20180504100000,372375.0,370893.33038032055
20180504100100,373500.0,370865.94776809216
20180504100200,373375.0,371680.34637346864
20180504100300,373625.0,372132.7891461551
20180504100400,373625.0,372205.338537693
20180504100500,373875.0,372320.37457078695
20180504100600,374375.0,372450.46619698405
20180504100700,374250.0,372825.8227184415
20180504100800,374250.0,372990.9983165562
20180504100900,374000.0,372933.4318637848
20180504101000,374875.0,372803.2595105469
20180504101100,376750.0,373143.7580958009
20180504101200,376750.0,374524.5376192033
20180504101300,375750.0,375390.1575319469
20180504101400,375125.0,374868.0876865983
20180504101500,375750.0,374080.6599855423
20180504101600,375875.0,374118.3191500604
20180504101700,376750.0,374471.82286158204
20180504101800,377250.0,374986.0944747925
20180504101900,376875.0,375651.3175815344
20180504102000,377250.0,375686.4419169724
20180504102100,377750.0,375709.0697064996
20180504102200,377125.00000000006,376143.65565776825
20180504102300,376499.99999999994,376048.13135042787
20180504102400,376000.0,375432.81370028853
20180504102500,375625.0,374883.1755705178
20180504102600,375000.0,374456.7511230707
20180504102700,375000.0,373957.84186571836
20180504102800,375125.0,373669.7028391063
20180504102900,375125.0,373734.8576337099
20180504103000,375375.0,373792.4725227058
20180504103100,375375.0,373922.7982573211
20180504103200,374500.0,374038.07647153735
20180504103300,373750.0,373581.96061849594
20180504103400,373750.0,372788.2119901478
20180504103500,373500.0,372442.9505094886
20180504103600,372750.0,372312.8508105874
20180504103700,371875.0,371807.71749839187
20180504103800,371125.0,371008.1807412207
20180504103900,371250.0,370216.9588692486
20180504104000,371125.0,369937.65945360065
20180504104100,370625.0,369930.1599115133
20180504104200,370125.0,369613.4838759899
20180504104300,369375.0,369125.0449158251
20180504104400,369750.0,368507.4426904321
20180504104500,370125.0,368358.2026101649
20180504104600,370750.0,368724.13021326065
20180504104700,370500.0,369219.8023162782
20180504104800,370125.0,369376.7195381224
20180504104900,370125.0,369067.7610076964
20180504105000,370125.0,368895.9254287183
20180504105100,369250.0,368895.9254287183
20180504105200,368625.0,368442.72382184863
20180504105300,367875.0,367718.7879383564
20180504105400,366625.0,367045.2176555991
20180504105500,366375.0,366057.07831308246
20180504105600,367625.0,365357.8933402896
20180504105700,368375.0,365888.6413425207
20180504105800,368625.0,366846.6452807188
20180504105900,368875.0,367318.6401426792
20180504110000,369125.0,367562.23398819566
20180504110100,369375.0,367805.90856075287
20180504110200,369250.0,368049.65578764677
20180504110300,369125.0,368099.38364475965
20180504110400,369125.0,367977.4858132005
20180504110500,369500.0,367920.2907048166
20180504110600,369625.0,368114.350438118
20180504110700,369250.0,368350.7192134857
20180504110800,369250.0,368213.8142250478
20180504110900,369125.0,368042.1804636717
20180504111000,369125.0,367977.4858132005
20180504111100,369125.0,367920.2907048166
20180504111200,368500.0,367920.2907048166
20180504111300,368500.0,367596.9627611339
20180504111400,368000.0,367311.1648187041
20180504111500,368375.0,367052.7010522783
20180504111600,368500.0,367018.00457015634
20180504111700,369250.0,367254.0181465447
20180504111800,369375.0,367699.0259587765
20180504111900,369250.0,368106.8670414388
20180504112000,369000.0,368099.38364475965
20180504112100,368500.0,367912.8073081374
20180504112200,368000.0,367539.79187086225
20180504112300,368124.99999999994,367052.7010522783
