datetime,original,predicted
20180504090200,36712.5,36649.42184984684
20180504090300,36725.0,36530.79553246498
20180504090400,36800.0,36505.395501852036
20180504090500,36962.5,36546.13575339317
20180504090600,37050.0,36654.01996076107
20180504090700,37000.0,36762.334313988686
20180504090800,36950.0,36775.01784861088
20180504090900,36887.5,36730.9600353241
20180504091000,36837.5,36680.93127012253
20180504091100,36825.0,36631.47603273392
20180504091200,36812.5,36604.803693294525
20180504091300,36812.5,36593.70395243168
20180504091400,36875.0,36588.502648472786
20180504091500,36912.5,36617.994832992554
20180504091600,36962.5,36661.60437166691
20180504091700,37000.0,36700.64381659031
20180504091800,37062.5,36738.91196548939
20180504091900,37087.5,36783.64713490009
20180504092000,37125.0,36821.05993628502
20180504092100,37125.0,36848.829889297485
20180504092200,37075.0,36864.222848415375
20180504092300,37037.5,36840.91751277447
20180504092400,37000.0,36802.85042822361
20180504092500,36975.0,36769.8643386364
20180504092600,36962.5,36742.681097984314
20180504092700,36950.0,36726.49376988411
20180504092800,36925.0,36715.46159982681
20180504092900,36850.0,36698.55241775513
20180504093000,36825.0,36652.92729139328
20180504093100,36812.5,36610.00170111656
20180504093200,36825.0,36593.70395243168
20180504093300,36862.5,36594.404381513596
20180504093400,36912.5,36617.29440391064
20180504093500,36975.0,36656.419548392296
20180504093600,37037.5,36706.51258826256
20180504093700,37087.5,36761.64047718048
20180504093800,37112.5,36810.774341225624
20180504093900,37075.0,36843.00067126751
20180504094000,37050.0,36835.782131552696
20180504094100,37087.5,36808.69118273258
20180504094200,37075.0,36815.917962789536
20180504094300,37037.5,36825.50642490387
20180504094400,37025.0,36802.85042822361
20180504094500,37012.5,36781.56232833862
20180504094600,37037.5,36770.55982351303
20180504094700,37012.5,36777.105951309204
20180504094800,37012.5,36775.71333348751
20180504094900,37012.5,36765.40631353855
20180504095000,37000.0,36765.40631353855
20180504095100,37025.0,36759.55402255058
20180504095200,37025.0,36766.101798415184
20180504095300,37025.0,36776.41046643257
20180504095400,37000.0,36776.41046643257
20180504095500,37025.0,36764.70918059349
20180504095600,37012.5,36766.101798415184
20180504095700,37025.0,36770.55982351303
20180504095800,37050.0,36771.255308389664
20180504095900,37037.5,36788.10351192951
20180504100000,37025.0,36792.5582408905
20180504100100,37037.5,36781.56232833862
20180504100200,37037.5,36782.257813215256
20180504100300,37012.5,36787.40802705288
20180504100400,37000.0,36775.71333348751
20180504100500,37025.0,36759.55402255058
20180504100600,37012.5,36766.101798415184
20180504100700,37012.5,36770.55982351303
20180504100800,37012.5,36765.40631353855
