datetime,original,predicted
20180504090200,356250.0,356890.70522785187
20180504090300,355000.0,356067.2137886286
20180504090400,354125.0,354660.52063554525
20180504090500,356500.0,353660.67969053984
20180504090600,358375.0,354472.478300333
20180504090700,357875.0,356471.1864814162
20180504090800,357875.0,357048.7456768751
20180504090900,358125.0,356828.0299976468
20180504091000,358875.0,356953.3721357584
20180504091100,359250.0,357439.2695352435
20180504091200,359125.0,357956.9747596979
20180504091300,360375.00000000006,358059.4555437565
20180504091400,360375.00000000006,358628.0433014035
20180504091500,360125.0,359175.97511410713
20180504091600,359500.0,359051.59836262465
20180504091700,358750.0,358630.78965991735
20180504091800,359000.0,357982.07481205463
20180504091900,359875.0,357777.0549878478
20180504092000,359875.0,358323.8965794444
20180504092100,359375.0,358707.9789787531
20180504092200,359625.0,358458.7594270706
20180504092300,359250.0,358363.90186846256
20180504092400,359250.0,358286.6376489401
20180504092500,359750.0,358121.85613811016
20180504092600,361125.0,358371.35864794254
20180504092700,361750.0,359275.2518132329
20180504092800,361000.0,360186.2855106592
20180504092900,360500.0,360087.2335135937
20180504093000,360000.0,359511.56347990036
20180504093100,359500.0,359044.1582277417
20180504093200,359750.0,358575.93739032745
20180504093300,359750.0,358481.1380878091
20180504093400,359625.0,358590.8509492874
20180504093500,359625.0,358528.55022251606
20180504093600,360750.0,358473.6729860306
20180504093700,362125.0,359034.0133458376
20180504093800,363000.0,360208.4894031286
20180504093900,363374.99999999994,361239.6970912814
20180504094000,363000.0,361804.248534143
20180504094100,362000.0,361782.0862531662
20180504094200,361750.0,361126.1892616749
20180504094300,362125.0,360567.64651834965
20180504094400,362125.0,360644.3115323782
20180504094500,361750.0,360807.52012878656
20180504094600,362250.0,360622.0826730132
20180504094700,362250.0,360706.129565835
20180504094800,362374.99999999994,360923.6744493246
20180504094900,362250.0,360985.44254899025
20180504095000,362500.0,360978.03570330143
20180504095100,362875.0,361047.1773594618
20180504095200,362374.99999999994,361340.89624136686
20180504095300,362374.99999999994,361257.03243911266
20180504095400,362374.99999999994,361039.7788360715
20180504095500,362250.0,361039.7788360715
20180504095600,362125.0,360978.03570330143
20180504095700,362250.0,360861.8897050619
20180504095800,362250.0,360869.3131953478
20180504095900,362125.0,360923.6744493246
20180504100000,362125.0,360861.8897050619
20180504100100,362250.0,360807.52012878656
20180504100200,362250.0,360869.3131953478
20180504100300,362374.99999999994,360923.6744493246
20180504100400,362374.99999999994,360985.44254899025
20180504100500,362374.99999999994,361039.7788360715
20180504100600,362250.0,361039.7788360715
20180504100700,362125.0,360978.03570330143
20180504100800,362250.0,360861.8897050619
20180504100900,362125.0,360869.3131953478
20180504101000,362125.0,360861.8897050619
20180504101100,362250.0,360807.52012878656
20180504101200,362374.99999999994,360869.3131953478
20180504101300,362125.0,360985.44254899025
20180504101400,362250.0,360916.2676036358
20180504101500,362125.0,360869.3131953478
20180504101600,362625.0,360861.8897050619
20180504101700,363250.0,361054.5842051506
20180504101800,362875.0,361580.062456429
20180504101900,362625.0,361666.3230806589
20180504102000,362875.0,361380.38554787636
20180504102100,363374.99999999994,361395.1659500599
20180504102200,363374.99999999994,361750.0620484352
20180504102300,363750.0,361966.71644598246
20180504102400,363374.99999999994,362151.20515972376
20180504102500,363750.0,362129.0761679411
20180504102600,363625.0,362151.20515972376
20180504102700,364000.0,362252.01316177845
20180504102800,364374.99999999994,362382.2571337223
20180504102900,364750.0,362728.42314094305
20180504103000,364750.0,363074.10645484924
20180504103100,364625.0,363235.74213683605
20180504103200,364750.0,363174.5233088732
20180504103300,365125.0,363181.88022077084
20180504103400,365625.0,363419.32372003794
20180504103500,365875.0,363825.11899620295
20180504103600,366125.0,364161.94738447666
20180504103700,366375.0,364391.11851900816
20180504103800,366250.0,364620.06495147943
20180504103900,366375.0,364666.2953197956
20180504104000,365750.0,364673.6272647977
20180504104100,365500.0,364422.7182865143
20180504104200,365500.0,364032.6022207737
20180504104300,365625.0,363925.21960288286
20180504104400,365875.0,363986.2636625767
20180504104500,365875.0,364161.94738447666
20180504104600,365750.0,364269.22181248665
20180504104700,365750.0,364208.2526534796
20180504104800,365875.0,364154.6154394746
20180504104900,366250.0,364215.5929207802
20180504105000,366625.0,364452.0377442241
20180504105100,366750.0,364795.3075915575
20180504105200,366875.0,365016.5558978915
20180504105300,366875.0,365130.7628005743
20180504105400,366875.0,365184.1919571161
20180504105500,366500.0,365184.1919571161
20180504105600,366500.0,365001.91697478294
20180504105700,367500.0,364841.4880260825
20180504105800,367750.0,365327.5269046426
20180504105900,367750.0,365875.41710585356
20180504110000,367625.0,365981.909237802
20180504110100,367375.0,365921.3645160198
20180504110200,366875.0,365746.96242809296
20180504110300,366750.0,365397.75878190994
20180504110400,366750.0,365123.43917787075
20180504110500,366750.0,365070.0100213289
20180504110600,366625.0,365070.0100213289
20180504110700,366750.0,365009.2405974865
20180504110800,366750.0,365016.5558978915
20180504110900,366625.0,365070.0100213289
20180504111000,366750.0,365009.2405974865
20180504111100,366750.0,365016.5558978915
20180504111200,366500.0,365070.0100213289
20180504111300,366625.0,364948.46285134554
20180504111400,366750.0,364902.2990614176
20180504111500,367125.0,365016.5558978915
20180504111600,367125.0,365252.2184252739
20180504111700,367125.0,365412.38106042147
20180504111800,366875.0,365412.38106042147
20180504111900,366750.0,365291.0003364086
20180504112000,366375.0,365123.43917787075
20180504112100,366500.0,364887.6518160105
20180504112200,367125.0,364787.98396885395
20180504112300,367250.0,365145.3767567873
20180504112400,367250.0,365473.0589389801
20180504112500,366750.0,365526.4131948352
20180504112600,366625.0,365283.6850360036
20180504112700,366250.0,365009.2405974865
20180504112800,366625.0,364773.33672344685
20180504112900,366625.0,364795.3075915575
20180504113000,366625.0,364955.77815175056
20180504113100,366750.0,364955.77815175056
20180504113200,367250.0,365016.5558978915
20180504113300,367125.0,365312.93791532516
20180504113400,367250.0,365465.7519608736
20180504113500,366875.0,365473.0589389801
20180504113600,366500.0,365344.39620375633
20180504113700,366375.0,365001.91697478294
20180504113800,366375.0,364780.6603461504
20180504113900,366500.0,364727.1479666233
